id,name,band,genre,releaseDate,price,imageUrl,description
1000000112,True Power,I Prevail,Metalcore,2022-08-19,15.24,https://fmenmish.github.io/black-vinyl-site/assets/images/true_power.jpg,True Power album was released on August 19th 2022 by metalcore band I Prevail.
1000000113,Self-Titled,Dragged Under,Metalcore,2020-01-17,26.11,https://fmenmish.github.io/black-vinyl-site/assets/images/dragged_under.jpg,Self-Titled album was released on January 17th 2020 by metalcore band Dragged Under.
1000000114,How It Feels to Be Lost (Deluxe),Sleeping With Sirens,Metalcore,2020-08-21,26.15,https://fmenmish.github.io/black-vinyl-site/assets/images/how_it_feels.jpg,How It Feels to Be Lost (Deluxe) album was released on August 21st 2020 by metalcore band Sleeping With Sirens.
1000000115,Guardians,August Burns Red,Metalcore,2020-04-03,23.63,https://fmenmish.github.io/black-vinyl-site/assets/images/guardians.jpg,Guardians album was released on April 3rd 2020 by metalcore band August Burns Red.
1000000116,Death Below,August Burns Red,Metalcore,2023-03-24,28.27,https://fmenmish.github.io/black-vinyl-site/assets/images/death_below.jpg,Death Below album was released on March 24th 2023 by metalcore band August Burns Red.
1000000117,The Surface,Beartooth,Metalcore,2023-10-13,24.86,https://fmenmish.github.io/black-vinyl-site/assets/images/the_surface.jpg,The Surface album was released on October 13th 2023 by metalcore band Beartooth.
1000000118,Below,Beartooth,Metalcore,2021-06-25,20.39,https://fmenmish.github.io/black-vinyl-site/assets/images/below.jpg,Below album was released on June 25th 2021 by metalcore band Beartooth.
1000000119,Scoring the End of the World,Motionless In White,Metalcore,2022-06-10,13.88,https://fmenmish.github.io/black-vinyl-site/assets/images/scoring_the_end.jpg,Scoring the End of the World album was released on June 10th 2022 by metalcore band Motionless In White.
1000000120,Magenta Smile,Prompts,Metalcore,2020-11-11,29.27,https://fmenmish.github.io/black-vinyl-site/assets/images/magenta_smile.jpg,Magenta Smile album was released on November 11th 2020 by metalcore band Prompts.
1000000141,Solstice,Prompts,Metalcore,2013-11-11,29.27,https://fmenmish.github.io/black-vinyl-site/assets/images/solstice.jpg,Solstice album was released on November 11th 2013 by metalcore band Prompts.
1000000001,AM,Arctic Monkeys,Rock,2013-09-09,10.73,https://fmenmish.github.io/black-vinyl-site/assets/images/am.jpg,AM album was released on September 9th 2013 by rock band Arctic Monkeys.
1000000002,Only by the Night,Kings of Leon,Rock,2008-09-19,26.21,https://fmenmish.github.io/black-vinyl-site/assets/images/only_by_the_night.jpg,Only by the Night album was released on September 19th 2008 by rock band Kings of Leon.
1000000003,Wasting Light,Foo Fighters,Rock,2011-04-12,11.86,https://fmenmish.github.io/black-vinyl-site/assets/images/wasting_light.jpg,Wasting Light album was released on April 12th 2011 by rock band Foo Fighters.
1000000004,Tranquility Base Hotel & Casino,Arctic Monkeys,Rock,2018-05-11,25.38,https://fmenmish.github.io/black-vinyl-site/assets/images/tranquility_base.jpg,Tranquility Base Hotel & Casino album was released on May 11th 2018 by rock band Arctic Monkeys.
1000000005,Imploding the Mirage,The Killers,Rock,2020-08-21,10.17,https://fmenmish.github.io/black-vinyl-site/assets/images/imploding_the_mirage.jpg,Imploding the Mirage album was released on August 21st 2020 by rock band The Killers.
1000000006,A Brief Inquiry Into Online Relationships,The 1975,Rock,2018-11-30,29.99,https://fmenmish.github.io/black-vinyl-site/assets/images/a_brief_inquiry.jpg,A Brief Inquiry Into Online Relationships album was released on November 30th 2018 by rock band The 1975.
1000000007,Sleep Well Beast,The National,Rock,2017-09-08,12.11,https://fmenmish.github.io/black-vinyl-site/assets/images/sleep_well_beast.jpg,Sleep Well Beast album was released on September 8th 2017 by rock band The National.
1000000008,The Slow Rush,Tame Impala,Rock,2020-02-14,23.15,https://fmenmish.github.io/black-vinyl-site/assets/images/the_slow_rush.jpg,The Slow Rush album was released on February 14th 2020 by rock band Tame Impala.
1000000009,Take My Hand,5 Seconds of Summer,Rock,2022-09-23,25.67,https://fmenmish.github.io/black-vinyl-site/assets/images/take_my_hand.jpg,Take My Hand album was released on September 23rd 2022 by rock band 5 Seconds of Summer.
1000000010,This Is Why,Paramore,Rock,2023-02-10,14.67,https://fmenmish.github.io/black-vinyl-site/assets/images/this_is_why.jpg,This Is Why album was released on February 10th 2023 by rock band Paramore.
1000000041,Concrete and Gold,Foo Fighters,Rock,2017-09-15,16.57,https://fmenmish.github.io/black-vinyl-site/assets/images/concrete_and_gold.jpg,Concrete and Gold album was released on September 15th 2017 by rock band Foo Fighters.
1000000042,Currents,Tame Impala,Rock,2015-07-17,13.51,https://fmenmish.github.io/black-vinyl-site/assets/images/currents.jpg,Currents album was released on July 17th 2015 by rock band Tame Impala.
1000000043,Delta,Mumford & Sons,Rock,2018-11-16,23.85,https://fmenmish.github.io/black-vinyl-site/assets/images/delta.jpg,Delta album was released on November 16th 2018 by rock band Mumford & Sons.
1000000044,Origins,Imagine Dragons,Rock,2018-11-09,15.09,https://fmenmish.github.io/black-vinyl-site/assets/images/origins.jpg,Origins album was released on November 9th 2018 by rock band Imagine Dragons.
1000000045,Love Lust Faith + Dreams,30 Seconds to Mars,Rock,2013-05-17,25.26,https://fmenmish.github.io/black-vinyl-site/assets/images/love_lust_faith_dreams.jpg,Love Lust Faith + Dreams album was released on May 17th 2013 by rock band 30 Seconds to Mars.
1000000046,Black Holes and Revelations,Muse,Rock,2006-07-03,27.04,https://fmenmish.github.io/black-vinyl-site/assets/images/black_holes.jpg,Black Holes and Revelations album was released on July 3rd 2006 by rock band Muse.
1000000047,Absolution,Muse,Rock,2003-09-15,23.95,https://fmenmish.github.io/black-vinyl-site/assets/images/absolution.jpg,Absolution album was released on September 15th 2003 by rock band Muse.
1000000048,Morning Phase,Beck,Rock,2014-02-21,26.85,https://fmenmish.github.io/black-vinyl-site/assets/images/morning_phase.jpg,Morning Phase album was released on February 21st 2014 by rock band Beck.
1000000049,Melodrama,Lorde,Rock,2017-06-16,10.46,https://fmenmish.github.io/black-vinyl-site/assets/images/melodrama.jpg,Melodrama album was released on June 16th 2017 by rock band Lorde.
1000000050,X&Y,Coldplay,Rock,2005-06-06,25.90,https://fmenmish.github.io/black-vinyl-site/assets/images/x_and_y.jpg,X&Y album was released on June 6th 2005 by rock band Coldplay.
1000000081,But Here We Are,Foo Fighters,Rock,2023-06-02,19.32,https://fmenmish.github.io/black-vinyl-site/assets/images/but_here_we_are.jpg,But Here We Are album was released on June 2nd 2023 by rock band Foo Fighters.
1000000082,The Car,Arctic Monkeys,Rock,2022-10-21,21.36,https://fmenmish.github.io/black-vinyl-site/assets/images/the_car.jpg,The Car album was released on October 21st 2022 by rock band Arctic Monkeys.
1000000083,Being Funny in a Foreign Language,The 1975,Rock,2022-10-14,14.89,https://fmenmish.github.io/black-vinyl-site/assets/images/being_funny.jpg,Being Funny in a Foreign Language album was released on October 14th 2022 by rock band The 1975.
1000000084,Laugh Track,The National,Rock,2023-09-18,29.36,https://fmenmish.github.io/black-vinyl-site/assets/images/laugh_track.jpg,Laugh Track album was released on September 18th 2023 by rock band The National.
1000000085,Cracker Island,Gorillaz,Rock,2023-02-24,19.70,https://fmenmish.github.io/black-vinyl-site/assets/images/cracker_island.jpg,Cracker Island album was released on February 24th 2023 by rock band Gorillaz.
1000000086,Pressure Machine,The Killers,Rock,2021-08-13,18.07,https://fmenmish.github.io/black-vinyl-site/assets/images/pressure_machine.jpg,Pressure Machine album was released on August 13th 2021 by rock band The Killers.
1000000087,Mercury – Act 2,Imagine Dragons,Rock,2022-07-01,22.47,https://fmenmish.github.io/black-vinyl-site/assets/images/mercury_act2.jpg,Mercury – Act 2 album was released on July 1st 2022 by rock band Imagine Dragons.
1000000088,Dance Fever,Florence + The Machine,Rock,2022-05-13,10.15,https://fmenmish.github.io/black-vinyl-site/assets/images/dance_fever.jpg,Dance Fever album was released on May 13th 2022 by rock band Florence + The Machine.
1000000089,Dropout Boogie,The Black Keys,Rock,2022-05-13,12.58,https://fmenmish.github.io/black-vinyl-site/assets/images/dropout_boogie.jpg,Dropout Boogie album was released on May 13th 2022 by rock band The Black Keys.
1000000090,Cool It Down,Yeah Yeah Yeahs,Rock,2022-09-30,11.40,https://fmenmish.github.io/black-vinyl-site/assets/images/cool_it_down.jpg,Cool It Down album was released on September 30th 2022 by rock band Yeah Yeah Yeahs.
1000000121,Alpha Games,Bloc Party,Rock,2022-04-29,17.00,https://fmenmish.github.io/black-vinyl-site/assets/images/alpha_games.jpg,Alpha Games album was released on April 29th 2022 by rock band Bloc Party.
1000000122,C’mon You Know,Liam Gallagher,Rock,2022-05-27,26.33,https://fmenmish.github.io/black-vinyl-site/assets/images/cmon_you_know.jpg,C’mon You Know album was released on May 27th 2022 by rock band Liam Gallagher.
1000000123,Brightside,The Lumineers,Rock,2022-01-14,10.90,https://fmenmish.github.io/black-vinyl-site/assets/images/brightside.jpg,Brightside album was released on January 14th 2022 by rock band The Lumineers.
1000000124,Blue Weekend,Wolf Alice,Rock,2021-06-04,14.67,https://fmenmish.github.io/black-vinyl-site/assets/images/blue_weekend.jpg,Blue Weekend album was released on June 4th 2021 by rock band Wolf Alice.
1000000125,Unreal Unearth,Hozier,Rock,2023-08-18,21.73,https://fmenmish.github.io/black-vinyl-site/assets/images/unreal_unearth.jpg,Unreal Unearth album was released on August 18th 2023 by rock band Hozier.
1000000126,WE,Arcade Fire,Rock,2022-05-06,25.46,https://fmenmish.github.io/black-vinyl-site/assets/images/we.jpg,WE album was released on May 6th 2022 by rock band Arcade Fire.
1000000127,A Light for Attracting Attention,The Smile,Rock,2022-05-13,21.39,https://fmenmish.github.io/black-vinyl-site/assets/images/a_light_for_attracting_attention.jpg,A Light for Attracting Attention album was released on May 13th 2022 by rock band The Smile.
1000000128,Gulp!,Sports Team,Rock,2022-07-22,22.87,https://fmenmish.github.io/black-vinyl-site/assets/images/gulp.jpg,Gulp! album was released on July 22nd 2022 by rock band Sports Team.
1000000129,Paint My Bedroom Black,Holly Humberstone,Rock,2023-10-13,11.79,https://fmenmish.github.io/black-vinyl-site/assets/images/paint_my_bedroom_black.jpg,Paint My Bedroom Black album was released on October 13th 2023 by rock band Holly Humberstone.
1000000130,Songs of Surrender,U2,Rock,2023-03-17,20.61,https://fmenmish.github.io/black-vinyl-site/assets/images/songs_of_surrender.jpg,Songs of Surrender album was released on March 17th 2023 by rock band U2.
1000000131,Of Truth and Sacrifice,Heaven Shall Burn,Metal,2020-03-20,25.56,https://fmenmish.github.io/black-vinyl-site/assets/images/of_truth_and_sacrifice.jpg,Of Truth and Sacrifice album was released on March 20th 2020 by metal band Heaven Shall Burn.
1000000132,Quadra,Sepultura,Metal,2020-02-07,28.54,https://fmenmish.github.io/black-vinyl-site/assets/images/quadra.jpg,Quadra album was released on February 7th 2020 by metal band Sepultura.
1000000133,Omega,Epica,Metal,2021-02-26,21.41,https://fmenmish.github.io/black-vinyl-site/assets/images/omega.jpg,Omega album was released on February 26th 2021 by metal band Epica.
1000000134,Resilience,Soen,Metal,2021-01-29,12.06,https://fmenmish.github.io/black-vinyl-site/assets/images/resilience.jpg,Resilience album was released on January 29th 2021 by metal band Soen.
1000000135,De Doorn,Amenra,Metal,2021-06-25,11.49,https://fmenmish.github.io/black-vinyl-site/assets/images/de_doorn.jpg,De Doorn album was released on June 25th 2021 by metal band Amenra.
1000000136,Utgard,Enslaved,Metal,2020-10-02,13.63,https://fmenmish.github.io/black-vinyl-site/assets/images/utgard.jpg,Utgard album was released on October 2nd 2020 by metal band Enslaved.
1000000137,Rapture,Inter Arma,Metal,2021-11-12,24.24,https://fmenmish.github.io/black-vinyl-site/assets/images/rapture.jpg,Rapture album was released on November 12th 2021 by metal band Inter Arma.
1000000138,Diaspora Problems,Soul Glo,Metal,2022-03-25,26.20,https://fmenmish.github.io/black-vinyl-site/assets/images/diaspora_problems.jpg,Diaspora Problems album was released on March 25th 2022 by metal band Soul Glo.
1000000139,Shrines of Paralysis,Ulcerate,Metal,2020-05-15,11.31,https://fmenmish.github.io/black-vinyl-site/assets/images/shrines_of_paralysis.jpg,Shrines of Paralysis album was released on May 15th 2020 by metal band Ulcerate.
1000000140,Märvelous,Märvel,Metal,2022-04-22,22.88,https://fmenmish.github.io/black-vinyl-site/assets/images/marvelous.jpg,Märvelous album was released on April 22nd 2022 by metal band Märvel.
1000000011,Fortitude,Gojira,Metal,2021-04-30,17.78,https://fmenmish.github.io/black-vinyl-site/assets/images/fortitude.jpg,Fortitude album was released on April 30th 2021 by metal band Gojira.
1000000012,Hushed and Grim,Mastodon,Metal,2021-10-29,18.93,https://fmenmish.github.io/black-vinyl-site/assets/images/hushed_and_grim.jpg,Hushed and Grim album was released on October 29th 2021 by metal band Mastodon.
1000000013,Ohms,Deftones,Metal,2020-09-25,29.30,https://fmenmish.github.io/black-vinyl-site/assets/images/ohms.png,Ohms album was released on September 25th 2020 by metal band Deftones.
1000000014,Fear Inoculum,Tool,Metal,2019-08-30,11.36,https://fmenmish.github.io/black-vinyl-site/assets/images/fear_inoculum.jpg,Fear Inoculum album was released on August 30th 2019 by metal band Tool.
1000000015,The Satanist,Behemoth,Metal,2014-02-03,16.49,https://fmenmish.github.io/black-vinyl-site/assets/images/the_satanist.jpg,The Satanist album was released on February 3rd 2014 by metal band Behemoth.
1000000016,Hail to the King,Avenged Sevenfold,Metal,2013-08-23,14.02,https://fmenmish.github.io/black-vinyl-site/assets/images/hail_to_the_king.jpg,Hail to the King album was released on August 23rd 2013 by metal band Avenged Sevenfold.
1000000017,The Stage,Avenged Sevenfold,Metal,2016-10-28,23.26,https://fmenmish.github.io/black-vinyl-site/assets/images/the_stage.jpg,The Stage album was released on October 28th 2016 by metal band Avenged Sevenfold.
1000000018,Opvs Contra Natvram,Behemoth,Metal,2022-09-16,22.57,https://fmenmish.github.io/black-vinyl-site/assets/images/opvs_contra_natvram.jpg,Opvs Contra Natvram album was released on September 16th 2022 by metal band Behemoth.
1000000019,Infinite Granite,Deafheaven,Metal,2021-08-20,20.79,https://fmenmish.github.io/black-vinyl-site/assets/images/infinite_granite.png,Infinite Granite album was released on August 20th 2021 by metal band Deafheaven.
1000000020,Dark Sun,Dayseeker,Metal,2022-11-04,12.59,https://fmenmish.github.io/black-vinyl-site/assets/images/dark_sun.jpg,Dark Sun album was released on November 4th 2022 by metal band Dayseeker.
1000000051,Magma,Gojira,Metal,2016-06-17,24.57,https://fmenmish.github.io/black-vinyl-site/assets/images/magma.jpg,Magma album was released on June 17th 2016 by metal band Gojira.
1000000052,Koi No Yokan,Deftones,Metal,2012-11-12,13.26,https://fmenmish.github.io/black-vinyl-site/assets/images/koi_no_yokan.jpg,Koi No Yokan album was released on November 12th 2012 by metal band Deftones.
1000000053,Crack the Skye,Mastodon,Metal,2009-03-24,17.18,https://fmenmish.github.io/black-vinyl-site/assets/images/crack_the_skye.jpg,Crack the Skye album was released on March 24th 2009 by metal band Mastodon.
1000000054,Iowa,Slipknot,Metal,2001-08-28,29.14,https://fmenmish.github.io/black-vinyl-site/assets/images/iowa.jpg,Iowa album was released on August 28th 2001 by metal band Slipknot.
1000000055,We Are Not Your Kind,Slipknot,Metal,2019-08-09,25.83,https://fmenmish.github.io/black-vinyl-site/assets/images/we_are_not_your_kind.jpg,We Are Not Your Kind album was released on August 9th 2019 by metal band Slipknot.
1000000056,Leviathan,Mastodon,Metal,2004-08-31,19.81,https://fmenmish.github.io/black-vinyl-site/assets/images/leviathan.jpg,Leviathan album was released on August 31st 2004 by metal band Mastodon.
1000000057,City of Evil,Avenged Sevenfold,Metal,2005-06-06,27.36,https://fmenmish.github.io/black-vinyl-site/assets/images/city_of_evil.jpg,City of Evil album was released on June 6th 2005 by metal band Avenged Sevenfold.
1000000058,"10,000 Days",Tool,Metal,2006-04-28,17.94,https://fmenmish.github.io/black-vinyl-site/assets/images/10000_days.jpg,"10,000 Days album was released on April 28th 2006 by metal band Tool."
1000000059,Blood Mountain,Mastodon,Metal,2006-09-12,23.31,https://fmenmish.github.io/black-vinyl-site/assets/images/blood_mountain.jpg,Blood Mountain album was released on September 12th 2006 by metal band Mastodon.
1000000060,"The End, So Far",Slipknot,Metal,2022-09-30,17.80,https://fmenmish.github.io/black-vinyl-site/assets/images/the_end_so_far.jpg,"The End, So Far album was released on September 30th 2022 by metal band Slipknot."
1000000091,Immutable,Meshuggah,Metal,2022-04-01,28.84,https://fmenmish.github.io/black-vinyl-site/assets/images/immutable.jpg,Immutable album was released on April 1st 2022 by metal band Meshuggah.
1000000092,72 Seasons,Metallica,Metal,2023-04-14,29.11,https://fmenmish.github.io/black-vinyl-site/assets/images/72_seasons.jpg,72 Seasons album was released on April 14th 2023 by metal band Metallica.
1000000093,Senjutsu,Iron Maiden,Metal,2021-09-03,15.17,https://fmenmish.github.io/black-vinyl-site/assets/images/senjutsu.jpg,Senjutsu album was released on September 3rd 2021 by metal band Iron Maiden.
1000000094,Electric Callboy – Tekkno,Electric Callboy,Metal,2022-09-09,27.03,https://fmenmish.github.io/black-vinyl-site/assets/images/tekkno.jpg,Electric Callboy – Tekkno album was released on September 9th 2022 by metal band Electric Callboy.
1000000095,An Evening with Knives,Cult of Luna,Metal,2022-02-11,29.42,https://fmenmish.github.io/black-vinyl-site/assets/images/the_long_road_north.jpg,An Evening with Knives album was released on February 11th 2022 by metal band Cult of Luna.
1000000096,Stare Into Death and Be Still,Ulcerate,Metal,2020-04-24,22.19,https://fmenmish.github.io/black-vinyl-site/assets/images/stare_into_death.jpg,Stare Into Death and Be Still album was released on April 24th 2020 by metal band Ulcerate.
1000000097,Sky Void of Stars,Katatonia,Metal,2023-01-20,29.35,https://fmenmish.github.io/black-vinyl-site/assets/images/sky_void_of_stars.jpg,Sky Void of Stars album was released on January 20th 2023 by metal band Katatonia.
1000000098,Pain Remains,Lorna Shore,Metal,2022-10-14,19.36,https://fmenmish.github.io/black-vinyl-site/assets/images/pain_remains.jpg,Pain Remains album was released on October 14th 2022 by metal band Lorna Shore.
1000000099,Existential Reckoning,Puscifer,Metal,2020-10-30,26.30,https://fmenmish.github.io/black-vinyl-site/assets/images/existential_reckoning.jpg,Existential Reckoning album was released on October 30th 2020 by metal band Puscifer.
1000000100,Carcinogenesis,Cattle Decapitation,Metal,2023-05-12,28.55,https://fmenmish.github.io/black-vinyl-site/assets/images/carciongenesis.jpg,Carcinogenesis album was released on May 12th 2023 by metal band Cattle Decapitation.
1000000021,American Idiot,Green Day,Punk,2004-09-20,28.01,https://fmenmish.github.io/black-vinyl-site/assets/images/american_idiot.jpg,American Idiot album was released on September 20th 2004 by punk band Green Day.
1000000022,The Unraveling,Rise Against,Punk,2001-04-24,16.09,https://fmenmish.github.io/black-vinyl-site/assets/images/the_unraveling.jpg,The Unraveling album was released on April 24th 2001 by punk band Rise Against.
1000000023,Appeal to Reason,Rise Against,Punk,2008-10-07,23.71,https://fmenmish.github.io/black-vinyl-site/assets/images/appeal_to_reason.jpg,Appeal to Reason album was released on October 7th 2008 by punk band Rise Against.
1000000024,From Here to Infirmary,Alkaline Trio,Punk,2001-04-03,10.62,https://fmenmish.github.io/black-vinyl-site/assets/images/from_here_to_infirmary.jpg,From Here to Infirmary album was released on April 3rd 2001 by punk band Alkaline Trio.
1000000025,The Dissent of Man,Bad Religion,Punk,2010-09-28,11.80,https://fmenmish.github.io/black-vinyl-site/assets/images/dissent_of_man.jpg,The Dissent of Man album was released on September 28th 2010 by punk band Bad Religion.
1000000026,No Gods No Managers,Choking Victim,Punk,2006-03-28,26.59,https://fmenmish.github.io/black-vinyl-site/assets/images/no_gods.jpg,No Gods No Managers album was released on March 28th 2006 by punk band Choking Victim.
1000000027,The Black Parade,My Chemical Romance,Punk,2006-10-23,29.66,https://fmenmish.github.io/black-vinyl-site/assets/images/the_black_parade.jpg,The Black Parade album was released on October 23rd 2006 by punk band My Chemical Romance.
1000000028,The Bronx (IV),The Bronx,Punk,2013-02-05,17.82,https://fmenmish.github.io/black-vinyl-site/assets/images/the_bronx_iv.jpg,The Bronx (IV) album was released on February 5th 2013 by punk band The Bronx.
1000000029,Siberia,Lights,Punk,2011-10-04,13.95,https://fmenmish.github.io/black-vinyl-site/assets/images/siberia.jpg,Siberia album was released on October 4th 2011 by punk band Lights.
1000000030,The Interrupters,The Interrupters,Punk,2014-08-26,29.82,https://fmenmish.github.io/black-vinyl-site/assets/images/the_interrupters.jpg,The Interrupters album was released on August 26th 2014 by punk band The Interrupters.
1000000061,Neighborhoods,Blink-182,Punk,2011-09-27,26.97,https://fmenmish.github.io/black-vinyl-site/assets/images/neighborhoods.jpg,Neighborhoods album was released on September 27th 2011 by punk band Blink-182.
1000000062,Does This Look Infected?,Sum 41,Punk,2002-11-26,28.97,https://fmenmish.github.io/black-vinyl-site/assets/images/does_this_look_infected.jpg,Does This Look Infected? album was released on November 26th 2002 by punk band Sum 41.
1000000063,Enemy of the World,Four Year Strong,Punk,2010-03-09,12.02,https://fmenmish.github.io/black-vinyl-site/assets/images/enemy_of_the_world.jpg,Enemy of the World album was released on March 9th 2010 by punk band Four Year Strong.
1000000064,Common Courtesy,A Day to Remember,Punk,2013-10-08,21.80,https://fmenmish.github.io/black-vinyl-site/assets/images/common_courtesy.jpg,Common Courtesy album was released on October 8th 2013 by punk band A Day to Remember.
1000000065,"No Pads, No Helmets... Just Balls",Simple Plan,Punk,2002-03-19,23.69,https://fmenmish.github.io/black-vinyl-site/assets/images/no_pads.jpg,"No Pads, No Helmets... Just Balls album was released on March 19th 2002 by punk band Simple Plan."
1000000066,Revolutions Per Minute,Rise Against,Punk,2003-04-08,23.23,https://fmenmish.github.io/black-vinyl-site/assets/images/revolutions_per_minute.jpg,Revolutions Per Minute album was released on April 8th 2003 by punk band Rise Against.
1000000067,Dookie (Deluxe Edition),Green Day,Punk,2014-04-19,10.24,https://fmenmish.github.io/black-vinyl-site/assets/images/dookie_deluxe.jpg,Dookie (Deluxe Edition) album was released on April 19th 2014 by punk band Green Day.
1000000068,California,Blink-182,Punk,2016-07-01,14.76,https://fmenmish.github.io/black-vinyl-site/assets/images/california.jpg,California album was released on July 1st 2016 by punk band Blink-182.
1000000069,Insomniac (Reissue),Green Day,Punk,2021-03-19,20.46,https://fmenmish.github.io/black-vinyl-site/assets/images/insomniac_reissue.jpg,Insomniac (Reissue) album was released on March 19th 2021 by punk band Green Day.
1000000070,Life Won’t Wait,Rancid,Punk,1998-06-30,21.63,https://fmenmish.github.io/black-vinyl-site/assets/images/life_wont_wait.jpg,Life Won’t Wait album was released on June 30th 1998 by punk band Rancid.
1000000101,Let the Bad Times Roll,The Offspring,Punk,2021-04-16,13.53,https://fmenmish.github.io/black-vinyl-site/assets/images/let_the_bad_times_roll.jpg,Let the Bad Times Roll album was released on April 16th 2021 by punk band The Offspring.
1000000102,Father of All...,Green Day,Punk,2020-02-07,26.58,https://fmenmish.github.io/black-vinyl-site/assets/images/father_of_all.jpg,Father of All... album was released on February 7th 2020 by punk band Green Day.
